setup,preset,gains_db,worst,avg,global,uniform,mae,p50,p90,p95,max_reliable,max_total,bias,slope_mean,e30,ae30,r2540,r2060,r8k,r15500
Bajo,previous,"[15.0, 3.5, -3.5, 16.0, -3.5]",0.6993166970351601,0.45750316695054477,0.4369960707234142,0.49331710834732484,0.4065916849544547,0.34955891597375555,0.729840407210386,0.8810712009355243,1.3980151619831815,1.7412523795564478,0.031224972322203705,0.5336654737113454,0.1947547018006368,0.1947547018006368,0.22656156570116898,0.24806580704155312,0.4135248275052345,0.45561668386702137
Bajo,recommended,"[15.0, 3.5, -3.5, 16.0, -3.5]",0.6993166970351601,0.45750316695054477,0.4369960707234142,0.49331710834732484,0.4065916849544547,0.34955891597375555,0.729840407210386,0.8810712009355243,1.3980151619831815,1.7412523795564478,0.031224972322203705,0.5336654737113454,0.1947547018006368,0.1947547018006368,0.22656156570116898,0.24806580704155312,0.4135248275052345,0.45561668386702137
Bajo,minimax_audit,"[16.0, 2.0, -2.5, 16.0, -4.0]",0.574848952746941,0.4686532139052522,0.4994893295607488,0.5165304569138806,0.4474234665431514,0.4440387749610366,0.7635915100359182,0.8299388727405788,1.0735921261687569,1.403485503483779,0.018996927493203832,0.5574156727597787,0.29224323174263667,0.29224323174263667,0.2858037207150756,0.25481717855417985,0.49780144226156703,0.49916473696033203
Bajo,subgrave,"[15.5, 2.0, -0.5, 13.0, -1.5]",0.7125040855235847,0.435052104083017,0.48329376469359286,0.5456053348033716,0.40409663645222027,0.24503660407313,0.8491789574596578,0.9005996840734374,1.5182080603119275,1.9494431991878232,0.0733961780074667,0.4852524343508732,-0.015201363191302164,0.015201363191302164,0.031778570551697014,0.04315599279809229,0.465991681342738,0.5023704997112524
Bajo,global,"[15.0, 3.5, -3.5, 16.0, -3.5]",0.6993166970351601,0.45750316695054477,0.4369960707234142,0.49331710834732484,0.4065916849544547,0.34955891597375555,0.729840407210386,0.8810712009355243,1.3980151619831815,1.7412523795564478,0.031224972322203705,0.5336654737113454,0.1947547018006368,0.1947547018006368,0.22656156570116898,0.24806580704155312,0.4135248275052345,0.45561668386702137
Híbrido,previous,"[-1.5, 3.0, 4.0, 8.5, 1.5]",0.7985008126125183,0.5354361955401581,0.5181130009814603,0.5895565195477616,0.484475523092897,0.3942728627511425,0.9083601125633115,0.9913895240483331,1.740136326916824,2.0305217296100135,0.04460701366538398,0.7338144685345724,0.2032847066232022,0.2032847066232022,0.21880111676121816,0.25354319741685044,0.5254768785208963,0.5595409222944601
Híbrido,recommended,"[-1.5, 3.0, 4.0, 8.5, 1.5]",0.7985008126125183,0.5354361955401581,0.5181130009814603,0.5895565195477616,0.484475523092897,0.3942728627511425,0.9083601125633115,0.9913895240483331,1.740136326916824,2.0305217296100135,0.04460701366538398,0.7338144685345724,0.2032847066232022,0.2032847066232022,0.21880111676121816,0.25354319741685044,0.5254768785208963,0.5595409222944601
Híbrido,minimax_audit,"[-2.0, 3.5, 2.5, 10.5, 0.0]",0.7230722634446209,0.5399172768755831,0.5936078509305309,0.620079775453908,0.5006207856067847,0.5029597828872872,0.9527588363521904,0.9803152067932048,1.5687570693717312,1.7808525967102788,-0.07014006844173085,0.7644961839641239,-0.0015136748813819878,0.0015136748813819878,0.03551157551705013,0.06240009401863829,0.5861004357776979,0.6017914443945017
Híbrido,subgrave,"[-2.0, 3.5, 2.0, 10.5, 0.0]",0.7926510530523807,0.6027450474261341,0.6690380533623117,0.6924815624207531,0.5459166227071777,0.5126934822578075,1.1526313968020696,1.2695783391368265,1.5401557844785856,1.7593135793262693,-0.27360145948320386,0.7681544110122764,-0.022953940429416786,0.022953940429416786,0.028162944752014907,0.032936488650455106,0.6750377092876342,0.6786411247218161
Híbrido,global,"[-0.5, 0.5, 8.0, 3.5, 5.5]",1.1378500667526517,0.5014100348640748,0.4631602608299787,0.6341795261077768,0.4090500401256459,0.21497162800419467,1.0318884846882124,1.3777790297498749,2.3925304096902487,2.892154734964663,-0.004135231487569698,0.7147800032308845,-0.0036586454215377096,0.0036586454215377096,0.054647655839279934,0.1264024886439265,0.450763538649029,0.558084831499694
